verb,verbs,nouns
accompany,"['accompany', 'accompanying']","['quantities', 'bier', 'drum', 'fife', 'roast', 'firing', 'convoys', 'passport', 'animal', 'time', 'ups', 'form', 'payment', 'article', 'outbreak', 'goddess']"
aerate,"['aerate', 'aerating']","['wort', 'beer']"
unsubscribe,"['unsubscribe', 'unsubscribed']","['registration', 'feed']"
bother,"['bother', 'bothered']","['time', 'flops', 'plastic', 'walk', 'things', 'people', 'nobody', 'community']"
depict,"['depict', 'depicted']","['information', 'areas', 'gold', 'row', 'interactions', 'creation', 'films', 'people', 'ratio', 'hell']"
soar,"['soar', 'soared']","['rates', 'surge', 'leadership', '8bn', 'value', 'popularity', 'number', 'population']"
enlist,"['enlist', 'enlisting']","['support', 'group', 'help', 'perjury', 'children']"
brew,"['brew', 'brewed']","['trouble', 'coffee', 'homebrew', 'version', 'beers', 'week']"
overrate,"['overrate', 'overrated']","['dudes', 'way', 'darling']"
terminate,"['terminate', 'terminates', 'terminated']","['access', 'contract', 'agreement', 'misery', 'pregnancy', 'algorithm', 'agent', 'terms', 'com', 'inquiry', 'proceedings', 'fiction']"
bring,"['bring', 'brings']","['artwork', 'gown', 'kirtle', 'election', 'referendum', 'singles', 'back', 'practice', 'refinement', 'wrath', 'things', 'danger', 'blanket', 'torture', 'displeasure', 'change', 'consciousness', 'water', 'taste', 'sickness', 'life', 'letter', 'pirate', 'side', 'filmmakers', 'foundations', 'instants', 'disease', 'darkslide', 'wonder', 'time', 'version', 'menu', 'list', 'years', 'spirit', 'announcement', 'end', 'phrase', 'emotions', 'hunt', 'nation', 'television', 'issue', 'greatness', 'people', 'feeling', 'derivative', 'factor', 'use', 'approach', 'subject', 'accommodate', 'regions', 'government', 'nobody', 'devices', 'positivity', 'decades', 'technologies', 'lecturers', 'hour', 'waiter', 'tray', 'management', 'atmosphere', 'past', 'package', 'value', 'tears', 'consequence', 'name', 'issues', 'employee', 'mention', 'procedure', 'investors', 'diet', 'halitosis', 'threats', 'lot', 'internet', 'risks', 'nudges', 'memories', 'ease', 'cut', 'drop', 'feel', 'fans', 'tabloid', 'news', 'uncertainty', 'war', 'student', 'designer', 'beauty', 'test', 'contrast', 'reader', 'cue', 'playfulness', 'organizations', 'achievement', 'peace']"
tape,"['tape', 'taped']","['legs', 'head', 'brother', 'duct', 'bottom']"
hope,"['hope', 'hopes', 'hoped']","['well', 'service', 'things', 'company', 'widow', 'rider', 'brother', 'president', 'selectors', 'ministers']"
handle,"['handle', 'handles', 'handled']","['child', 'things', 'task', 'remittances', 'sale', 'problems', 'spin', 'skeleton', 'dying', 'none', 'love', 'packets', 'control', 'engines', 'millions', 'parser', 'array', 'queries', 'amount', 'system', 'individuals', 'conference', 'policy', 'affairs', 'situations', 'east', 'democracy', 'hundreds', 'blocks', 'progress', 'eggs', 'parts', 'components', 'weapon', 'weapons', 'criticism', 'files', 'players', 'aspects', 'truth', 'information', 'situation', 'documents', 'setting', 'outage', 'cases', 'package', 'allocation', 'outreach', 'negotiations', 'pest', 'core', 'producers', 'project', 'pressures', 'prasada', 'philosophers', 'return', 'axe', 'events', 'process', 'judging', 'company', 'request', 'everything', 'data', 'festival', 'moments', 'stability', 'elements']"
smash,"['smash', 'smashing']","['cabinet', 'shelves', 'anyone', 'bat', 'boundaries', 'yarder']"
summon,"['summon', 'summoning']","['energy', 'presuppositions', 'will', 'tune', 'words', 'personnel', 'today']"
stuff,"['stuff', 'stuffs']","['peg', 'mattress', 'things', 'number']"
rein,"['rein', 'reined']","['inflation', 'spending', 'govt']"
exude,"['exude', 'exudes', 'exuded']","['sociality', 'charisma', 'everything', 'moronry', 'spot', 'warmth', 'voice', 'power', 'statue', 'nothing', 'exterior', 'time']"
unravel,"['unravel', 'unraveling']","['strings', 'hold', 'world']"
email,"['email', 'emailed']","['resume', 'ideas', 'link', 'someone', 'question', 'percent', 'email', 'energy', 'wonks', 'text']"
drum,"['drum', 'drums']","['war', 'business', 'audience', 'support', 'vocals']"
ramp,"['ramp', 'ramped']","['capacity', 'scandal', 'production', 'week', 'rhetoric', 'government', 'growth']"
conclude,"['conclude', 'concludes', 'concluded']","['section', 'affair', 'proceedings', 'people', 'anything', 'evening', 'regions', 'reviews', 'issue', 'extravaganza', 'multiculturalism', 'war', 'lesson', 'story', 'contract', 'verses', 'forum', 'authors', 'report', 'night', 'programme', 'r', 'thanks', 'recommendations', 'presentations', 'team', 'renewal', 'paper', 'investigation', 'exchange', 'participants']"
reexamine,"['reexamine', 'reexamined']","['inequalities', 'anyone', 'style']"
waste,"['waste', 'wastes', 'wasting']","['start', 'right', 'space', 'clutter', 'time', 'funds', 'money', 'way', 'bit', 'hours', 'season', 'breath', 'days', 'thing', 'seconds', 'method', 'lot', 'chance', 'moment', 'day', 'police', 'branch', 'millions']"
banish,"['banish', 'banished']","['someone', 'religion']"
prosper,"['prosper', 'prospered']","['16:116', 'yard', 'society', 'country', 'nation', 'suites']"
conserve,"['conserve', 'conserving']","['resources', 'reality', 'heritage', 'nature']"
spell,"['spell', 'spells']","['campaign', 'fact', 'name', 'difference', 'word', 'preponderant', 'dictatorship']"
drink,"['drink', 'drinks']","['wine', 'restrictions', 'sleep', 'gin', 'alcohol', 'amounts', 'hours', 'situation', 'cup', 'sherbert', 'kid', 'coffee', 'party', 'things', 'water', 'times', 'lot', 'litres', 'zombies', 'day', 'travelers', 'whiskeys', 'glasses', 'plenty']"
dust,"['dust', 'dusted']","['pages', 'megaphone']"
expand,"['expand', 'expands']","['base', 'market', 'services', 'ribs', 'outwards', 'archive', 'boundaries', 'network', 'muscles', 'platform', 'horizons', 'understanding', 'sales', 'companies', 'trade', 'scope', 'mind', 'universe', 'businesses', 'address', 'pipeline', 'duration', 'production', 'output', 'access', 'return', 'reach', 'bread', 'coverage', 'participation']"
command,"['command', 'commands']","['circle', 'handmaids', 'eunuchs', 'attention', 'businesses', 'loyalty', 'fee', 'invasion', 'deal', 'soda', 'pop', 'pomp', 'slopes']"
diversify,"['diversify', 'diversifying']","['conversation', 'agriculture', 'base', 'folio']"
restructure,"['restructure', 'restructured']","['enterprise', 'operations', 'system']"
stabilise,"['stabilise', 'stabilising']","['price', 'hearing', 'debt', 'counter']"
arrest,"['arrest', 'arresting']","['development', 'members', 'imprisonment', 'criminals', 'police', 'people', 'thieves', 'perpetrators', 'siblings']"
combine,"['combine', 'combines', 'combining']","['shapes', 'colors', 'skills', 'units', 'features', 'experience', 'pleasures', 'nanofactories', 'components', 'love', 'pieces', 'waves', 'draft', 'bitterness', 'words', 'desire', 'time', 'versions', 'photo', 'itineraries', 'view', 'content', 'effort', 'factors', 'game', 'elements', 'music', 'soul', 'meaning', 'usefulness', 'kilima', 'balance', 'tour', 'architecture', 'market', 'food', 'education', 'resources', 'corner', 'governments', 'rate', 'resistance', 'dress', 'information', 'power', 'agent']"
crack,"['crack', 'cracking']","['pie', 'someone', 'code', 'tool', 'guns', 'everything', 'nuts']"
strive,"['strive', 'strives', 'striving']","['believer', 'ties', 'story']"
supervise,"['supervise', 'supervises', 'supervising']","['activities', 'government', 'trade', 'council', 'executive', 'manager', 'management', 'space', 'work']"
tick,"['tick', 'ticking']","['wizard', 'list', 'sights', 'ballot', 'peaks', 'boxes', 'job', 'int', 'clock', 'marat', 'economy']"
become,"['become', 'becomes', 'becoming']","['reality', 'people', 'heart', 'disbeliever', 'museums', 'today', 'religion', 'destitute', 'rights', 'being', 'sign', 'friends', 'ranger', 'part', 'passage', 'child', 'civilization', 'cursor', 'creeps', 'reply', 'slaves', 'economy', 'fall', 'possibility', 'industry', 'ats', 'owner', 'lady', 'sadhu', 'stewards', 'foundation', 'vices', 'desires', 'aggregates', 'vanishing', 'subject', 'sensations', 'returner', 'proceeds', 'devas', 'brahma', 'arahant', 'victim', 'crows', 'defilements', 'majority', 'monks', 'person', 'meditators', 'benefactors', 'cravings', 'inmate', 'king', 'dragon', 'elder', 'winner', 'mind', 'behaviours', 'behaviour', 'calmness', 'body', 'lahut', 'mudut', 'chain', 'sage', 'forces', 'reason', 'number', 'visa', 'events', 'backbone', 'cells', 'tails', 'failures', 'ideas', 'letters', 'authority', 'weekend', 'home', 'members', 'vagina', 'bladder', 'president', 'owners', 'source', 'speeches', 'summers', 'moments', 'act', 'expenses', 'statement', 'look', 'style', 'entrepreneurs', 'security', 'factor', 'actions', 'representative', 'scribe', 'anyone', 'year', 'welcome', 'shifts', 'life', 'units', 'advocates', 'promoters', 'citizens', 'marriage', 'teachers', 'burden', 'way', 'while', 'runners', 'axis', 'domain', 'texts', 'property', 'defendant', 'musician', 'years', 'franchises', 'beneficiaries', 'speculator', 'need', 'topic', 'action', 'favorites', 'sites', 'excuse', 'consultants', 'coaches', 'everyone', 'coach', 'leader', 'translates', 'things', 'freelancer', 'employee', 'speaker', 'ability', 'software', 'service', 'technology', 'steward', 'role', 'visualizer', 'lieutenant', 'company', 'partner', 'land', 'dilemmas', 'community', 'producers', 'functions', 'someone', 'something', 'stress', 'crore', 'definition', 'lines', 'animals', 'man', 'potential', 'decision', 'ideal', 'hub', 'setter', 'player', 'females', 'country', 'citizen', 'nation', 'finalists', 'semi', 'baking', 'insurance', 'writers', 'students', 'learners', 'executive', 'problem', 'homesick', 'student', 'tyrant', 'master', 'exporter', 'chips', 'force', 'habit', 'phrase', 'ventilation', 'effect', 'conceptions', 'belief', 'wisdom', 'world', 'member', 'computers', 'repositories', 'nitrate', 'fertilizer', 'adults', 'language', 'lessons', 'sports', 'news', 'criticism', 'gesture', 'bidders', 'shell', 'mount', 'agreement', 'basis', 'maker', 'artifacts', 'power', 'poster', 'web', 'section', 'colony', 'state', 'victims', 'distinction', 'party', 'variety', 'cloud', 'potus', 'word', 'targets', 'wrestler', 'professional', 'sumo', 'democrats', 'microphone', 'odds', 'thing', 'efficiency', 'threat', 'monarchies', 'moves', 'furniture', 'centers', 'states', 'theocracies', 'crowds', 'nations', 'backwater', 'die', 'roof', 'pock', 'opportunities', 'natives', 'rule', 'mothers', 'soil', 'society', 'signature', 'presence', 'frame', 'parts', 'option', 'building', 'nature', 'populations', 'day', 'yolks', 'tool', 'exercise', 'block', 'wears', 'pain', 'hereunder', 'procedures', 'baroque', 'farmer', 'crisis', 'effort', 'symbol', 'enterer', 'star', 'bankers', 'responsibilities', 'epicentres', 'songs', 'trash', 'friend', 'loopy', 'lifestyle', 'bore', 'evictees', 'parents', 'couples', 'newsletters', 'aid', 'step', 'species', 'rudeness', 'austerity', 'management', 'statistic', 'programmes', 'individuals', 'shareholder', 'revision', 'diseases', 'salesman', 'servant', 'fronts', 'diffuse', 'change', 'drain', 'democracy', 'neurologist', 'doctor', 'deception', 'crime', 'offence', 'offense', 'forest', 'ceo', 'employees', 'ones', 'lakes', 'casualty', 'event', 'situation', 'producer', 'satellite', 'sun', 'giant', 'fate', 'neighborhood', 'spot', 'judgment', 'tourist', 'joke', 'goodbye', 'connoiseur', 'none', 'default', 'christians', 'devices', 'bill', 'series', 'thanks', 'fight', 'bowl', 'art', 'football', 'site', 'habits', 'norm', 'vat', 'others', 'panels', 'backup', 'premier', 'conflict', 'bomber', 'weapon', 'carriers', 'powers', 'accom', 'currency', 'cause', 'carer', 'writings', 'city', 'dream', 'lot', 'refugees', 'footnote', 'lgbt', 'juor', 'swimmer', 'children', 'job', 'boss', 'champion', 'abuse', 'issue', 'sausages', 'ham', 'rape', 'midfield', 'options', 'capitalism', 'haven', 'class', 'beds', 'winter', 'bit', 'frontlines', 'displacement', 'work', 'order', 'modicum', 'days', 'nights', 'waters', 'playground', 'secret', 'impure', 'kafir', 'spiritualism', 'fountain', 'prisoner', 'rival', 'dearer', 'contemplation', 'malice', 'weather', 'insight', 'strength', 'commensurate', 'desire', 'concentration', 'tranquility', 'awareness', 'knowledge', 'self', 'heat', 'water', 'waist', 'center', 'forecast', 'genocide', 'thought', 'vote', 'picture', 'position', 'idea', 'network', 'region', 'arguments', 'percentage', 'internet', 'interval', 'b+1', 'philosopher', 'absorbance', 'woman', 'duty', 'cable', 'importance', 'directions', 'physics', 'reflection', 'venue', 'museum', 'stage', 'question', 'sponsor', 'form', 'pursuit', 'arrogance', 'enemy', 'passion', 'opposition', 'fellowship', 'stranger', 'hair', 'sentence', 'nobody', 'data', 'text', 'discourse', 'communication', 'realm', 'choice', 'nuisance', 'equivalent', 'team', 'amalgamation', 'vapour', 'place', 'illness', 'divorce', 'target', 'ratios', 'cowardice', 'money', 'market', 'mouthpiece', 'pressure', 'rock', 'carnival', 'nightmare', 'truth', 'war', 'everything', 'chaos', 'parent', 'prediction', 'fact', 'waste', 'figure', 'matella', 'difficulty', 'cgi', 'standards', 'zone', 'arid', 'queen']"
flush,"['flush', 'flushed']","['people', 'shit', 'drains', 'sense', 'cheeks', 'tweets']"
transport,"['transport', 'transports']","['substances', 'products', 'jet', 'pastor', 'passengers', 'images']"
schedule,"['schedule', 'schedules', 'scheduling']","['proceeding', 'rate', 'lesson', 'enb', 'ues', 'seminar']"
pressure,"['pressure', 'pressuring']",['government']
stage,"['stage', 'staged']","['ceremony', 'productions', 'drama', 'members', 'protest', 'market', 'rally', 'raid', 'troops', 'attacks', 'raids', 'month', 'picket', 'fight', 'establishments']"
ingest,"['ingest', 'ingesting']","['deal', 'protein']"
revise,"['revise', 'revised']","['quote', 'terms', 'curriculum', 'scientists', 'theory', 'project', 'month', 'platform', 'service', 'test']"
assess,"['assess', 'assessing']","['ability', 'matters', 'guys', 'effectiveness', 'severity', 'performance', 'pipe', 'delay', 'knowledge', 'proficiency', 'damage', 'health', 'answers', 'policy', 'blame', 'status', 'press', 'theft', 'function', 'doctors', 'skills', 'injuries', 'players', 'risks', 'family', 'analysts', 'role', 'prospects', 'leadership', 'condition', 'level', 'access', 'institutions', 'programme', 'needs', 'state', 'involvement', 'suitability', 'evidence', 'reasonableness', 'degree', 'prejudice', 'situation', 'position', 'type', 'intentions', 'worthiness', 'solvency', 'levels', 'candidates']"
reactivate,"['reactivate', 'reactivates']","['plant', 'membership']"
overestimate,"['overestimate', 'overestimated']","['qualities', 'expectations', 'side', 'number']"
bump,"['bump', 'bumping']","['boats', 'hulks', 'day']"
trigger,"['trigger', 'triggered']","['conscience', 'sense', 'brain', 'thoughts', 'infection', 'rash', 'mechanism', 'blood', 'clot', 'change', 'mutations', 'duplication', 'crisis', 'demand', 'conflicts', 'detector', 'outbreaks', 'seizure', 'memories', 'surge', 'move', 'up', 'arrests', 'debate', 'age', 'phenomenon', 'strategy', 'feeling', 'request', 'allergy', 'correction', 'chip', 'crash', 'alarm']"
count,"['count', 'counting']","['divorces', 'balls', 'party', 'guest', 'groups', 'victories', 'ways', 'blessings', 'structure', 'vote', 'ballots', 'chickens', 'eyelashes', 'accountants', 'crime', 'men', 'outbreak', 'number', 'interest', 'defense', 'money', 'laughing', 'runs', 'yesterday', 'gems', 'people', 'citations', 'links', 'search', 'members', 'ills', 'seconds', '@include', 'xhrs', 'host']"
compute,"['compute', 'computed']","['pageranks', 'score', 'value', 'time', 'area', 'checksum', 'proximity', 'counts']"
smooth,"['smooth', 'smoothing']","['strand', 'time', 'garment']"
convince,"['convince', 'convinces', 'convinced']","['congregation', 'anyone', 'government', 'friends', 'examination', 'governments', 'people', 'world', '%', 'voters', 'details', 'moms', 'members', 'porters', 'investors', 'dad', 'runners', 'intellectuals', 'numbnuts', 'users', 'plaintiff', 'court', 'party', 'companion', 'one', 'pictures', 'size', 'nothing', 'words', 'mum', 'majority', 'recruit', 'raid', 'something']"
recognize,"['recognize', 'recognizes', 'recognized']","['elves', 'blessing', 'price', 'precepts', 'world', 'criminal', 'title', 'condition', 'grasping', 'nobody', 'needs', 'people', 'similarities', 'support', 'alliance', 'coalition', 'right', 'man', 'influence', 'concept', 'anyone', 'billions', 'agent', 'type', 'information', 'blessings', 'color', 'devil', 'makers', 'character', 'coops', 'problems', 'truth', 'city', 'amendment', 'theory', 'challenge', 'reform', 'value', 'programme', 'treatment', 'linkages', 'person', 'lack', 'mother', 'card', 'times', 'wisdom', 'rights', 'champions', 'currency', 'states', 'concentration', '500px', 'shades', 'contrast', 'body', 'refugees', 'group', 'format', 'formats', 'j']"
